# collected: 2026-09-10 08:02 KST
# window: 2026-09-09 00:00 ~ 2026-09-10 08:02 KST
# part 2 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-09 14:23 | 아시아경제 | "맥도날드와 지드래곤이 만났다"…아시아 13개 마켓 캠페인 전개 - 아시아경제 | google:아시아경제 | sw
2026-09-09 14:22 | mt.co.kr | 노동부, 플랫폼 노동자 '최저보수' 적용 추진…실태조사 착수 | https://www.mt.co.kr/economy/2026/09/10/2026090913182131013 | c13?
2026-09-09 14:20 | businessplus.kr | [뉴스+]고려아연 경영권 방어한 최윤범 회장…감사위원 잡고 '이사회 12... | https://www.businessplus.kr/news/articleView.html?idxno=116604 | c24?
2026-09-09 14:18 | 대한경제 | 도봉구, 정비사업 구역마다 ‘갈등관리책임관’ 배치 - 대한경제 | google:대한경제 | sw
2026-09-09 14:18 | newsis.com | 김승원 법무장관 후보자 청문회 오는 15일 열린다 [뉴시스Pic] - newsis.com | google:newsis.com | sw
2026-09-09 14:17 | 대한경제 | 성수동 ‘그녀가 온대’ 미스터리 광고, 주인공 배우 신세경으로 공개 - 대한경제 | google:대한경제 | sw
2026-09-09 14:17 | 아시아경제 | "대체 어디 아파트길래" 전세 계약 위해 이틀 밤샘 '오픈 런'…텐트까지 등장 - 아시아경제 | google:아시아경제 | sw
2026-09-09 14:15 | 연합뉴스 | [1보] 법원 "스마일게이트 권혁빈 이혼…주식 35% 재산 분할" - 연합뉴스 | google:연합뉴스 | sw
2026-09-09 14:14 | opinionnews.co.kr | 최윤범 고려아연 회장 영풍에 '판정승'…감사위원 1석 차지하며 이사회... | http://www.opinionnews.co.kr/news/articleView.html?idxno=144202 | c24?
2026-09-09 14:13 | ESG경제 | 지자체 기후예산, 중앙정부보다 앞섰지만 실제 예산 전환은 미흡 - ESG경제 | google:ESG경제 | sw
2026-09-09 14:12 | 헤럴드경제 | “한 상에 담은 전통 다과·전통차”…코트야드 메리어트 서울 타임스퀘어 ‘달 토끼 찻상’ - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-09 14:12 | newslock.co.kr | 고용부, 잇단 중대재해 HD현대중공업 특별감독 | http://www.newslock.co.kr/news/articleView.html?idxno=135881 | c9?
2026-09-09 14:10 | 한국경제 | [단독] "수천억 날릴 판"…주 52시간에 발목 잡힌 K원전 '비명' - 한국경제 | google:한국경제 | sw
2026-09-09 14:10 | 매일경제 | ‘컴백’ 영탁, 어둠 뚫고 빗길 질주…‘꺾어’ MV 첫 티저 공개 - 매일경제 | google:매일경제 | sw
2026-09-09 14:08 | 아주경제 | [부고] 윤동(필드뉴스 팀장)씨 부친상 - 아주경제 | google:아주경제 | sw
2026-09-09 14:08 | 주간경향 | 나홍진 미국선 ‘호평 일색’? …확인해보니 - 주간경향 | google:주간경향 | sw
2026-09-09 14:07 | 아주경제 | 대신증권, 크레온 신규 고객에 최대 6만원 지원금 - 아주경제 | google:아주경제 | sw
2026-09-09 14:06 | 대한경제 | 서울주택도시개발공사, 호우 피해 복구 위해 5000만원 기부 - 대한경제 | google:대한경제 | sw
2026-09-09 14:06 | 대한경제 | 삼성전자 초기업노조, 반도체 노조 전환 추진…내달 6일 ‘성과급 전사통합’ 총회 표결 - 대한경제 | google:대한경제 | sw
2026-09-09 14:06 | 연합뉴스 | 윤호중 "공소청 직제안 수정 논의…필요하면 재입법예고" - 연합뉴스 | google:연합뉴스 | sw
2026-09-09 14:06 | 연합뉴스 | 네이버제트 노조 첫 부분파업…내달 최대 5일 파업 예고 - 연합뉴스 | google:연합뉴스 | sw
2026-09-09 14:05 | 서울경제 | 산림조합중앙회, ‘2026년 전국 산림조합장 워크숍’ 개최 - 서울경제 | google:서울경제 | sw
2026-09-09 14:05 | 연합뉴스 | 美태평양사령부 "中, 서해 통제력 확보 시도…함께 맞서야" - 연합뉴스 | google:연합뉴스 | sw
2026-09-09 14:05 | 아주경제 | [포토] 2026 적십자 추석맞이 사랑의 선물 봉사활동 - 아주경제 | google:아주경제 | sw
2026-09-09 14:05 | mk.co.kr | 고려아연 최윤범號, 임시주총서 표대결 승리…감사위원 지키며 이사회 ... | https://www.mk.co.kr/article/12148184 | c15?,c24?
2026-09-09 14:04 | 아주경제 | [포토] 대한적십자사 서울지사, 추석맞이 사랑의 선물 제작 봉사활동 진행 - 아주경제 | google:아주경제 | sw
2026-09-09 14:04 | edaily.co.kr | 노동부, '잇단 사망사고' 현대중공업 안전관리체계 쇄신 지시 | https://www.edaily.co.kr/News/Read?newsId=03693286645578480&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article | c24?,c9?
2026-09-09 14:04 | koreareport.co.kr | 최윤범 고려아연 회장 승리…영풍·MBK 측 감사위원 '부결' | https://www.koreareport.co.kr/news/articleView.html?idxno=52757 | c15?
2026-09-09 14:03 | newsis.com | '퇴임' 이석연 "국민 눈높이서 말하려 했다… 李와 정부에 쓴소리 마다하지 않아" [뉴시스Pic] - newsis.com | google:newsis.com | sw
2026-09-09 14:00 | 대한경제 | 해진공, 포모사 채권 네번째 발행…‘역대 최저 금리’ 기록 경신 - 대한경제 | google:대한경제 | sw
2026-09-09 14:00 | 연합뉴스 | 10년 만에 경찰제복 바뀐다…헌 제복은 가방·의류로 재활용 - 연합뉴스 | google:연합뉴스 | sw
2026-09-09 14:00 | 매일경제 | MK Pick / 스너글 ‘스파클 플러스 섬유유연제’ 리뉴얼로 향 지속력 30일 구현 - 매일경제 | google:매일경제 | sw
2026-09-09 13:59 | 대한경제 | 속쓰림 방치하다 큰코다친다… 위내시경으로 위암·대장암 '두 마리 토끼' 잡아야 - 대한경제 | google:대한경제 | sw
2026-09-09 13:58 | topdaily.kr | [현장르포] '감사위원 1석' 고려아연 차지…이사회 구성 12대7 확정 | https://www.topdaily.kr/articles/111859 | c15?,c24?
2026-09-09 13:57 | nocutnews.co.kr | 노동부, 잇단 사망사고 현대중공업 찾아 "안전관리 근본 개선해야" | https://www.nocutnews.co.kr/news/6575484?utm_source=naver&utm_medium=article&utm_campaign=20260909015655 | c9?
2026-09-09 13:56 | 대한경제 | 오피스텔·도생 PF 자기자본비율 강화 2년 유예…금융권 서울 수도권 PF 집중된다 - 대한경제 | google:대한경제 | sw
2026-09-09 13:55 | 연합뉴스 | 손예진 "조선서 금기된 욕망, 이제 저도 표현해볼 나이 됐죠" - 연합뉴스 | google:연합뉴스 | sw
2026-09-09 13:55 | 서울경제 | 임하수 산림청 차장, 대추 재배임가 민생현장 점검 - 서울경제 | google:서울경제 | sw
2026-09-09 13:55 | 대한경제 | 코람코, 정부과천청사역 1지구 도심복합개발사업 추진 - 대한경제 | google:대한경제 | sw
2026-09-09 13:54 | newspim.com | 노동부, '올해 5명 사망' HD현대重에 안전관리체계 혁신 주문 | https://www.newspim.com/news/view/20260909000843 | c9?
2026-09-09 13:52 | 1conomynews.co.kr | [현장+] 최윤범 회장 측, 고려아연 감사위원 표 대결 승리…이사회 12대... | https://www.1conomynews.co.kr/news/articleView.html?idxno=50313 | c24?
2026-09-09 13:52 | straightnews.co.kr | [고려아연 주총] 백인규 감사위원 선임…12대 7, 최윤범 측 이사회 주도... | https://www.straightnews.co.kr/news/articleView.html?idxno=310774 | c24?
2026-09-09 13:50 | 대한경제 | 동작구, 정비사업 열린상담실 운영 시작 - 대한경제 | google:대한경제 | sw
2026-09-09 13:50 | pinpointnews.co.kr | 고려아연 '경영권 분쟁 승부처' 감사위원 선임戰 백인규 승리…최윤범 ... | https://www.pinpointnews.co.kr/news/articleView.html?idxno=485379 | c24?
2026-09-09 13:50 | news1.kr | 고려아연, 이사회 12대 7 재편…최윤범 회장 측 감사위원 선임(종합) | https://www.news1.kr/industry/general-industry/6284935 | c24?
2026-09-09 13:44 | investchosun.com | [Invest]고려아연 감사위원 표대결 최윤범 측 승리…이사회 12대7로 | https://www.investchosun.com/site/data/html_dir/2026/09/09/2026090980093.html | c24?
2026-09-09 13:40 | 경향신문 | Presidential job approval falls into the 30% range for the first time… Democratic Party and People Power Party support also converge - 경향신문 | google:경향신문 | sw
2026-09-09 13:39 | dailian.co.kr | 지방정부 탄소중립 우수사례 공유…서울·충남·경남 선정 | https://www.dailian.co.kr/news/view/1687988/?sc=Naver | c1?
2026-09-09 13:38 | news.mtn.co.kr | 고려아연 ‘감사위원 1석’ 사수…영풍·MBK와 대결서 승리 | https://news.mtn.co.kr/news-detail/2026090913171554548 | c24?
2026-09-09 13:36 | news.tf.co.kr | 고려아연 감사위원 선임 최윤범 勝…이사회 12대 7로 재편 | https://news.tf.co.kr/read/economy/2363823.htm | c24?
2026-09-09 13:35 | 연합뉴스 | [AI프리즘] 오픈AI, 한국 사업 확대…사이버보안 파트너 5곳 뽑는다(종합) - 연합뉴스 | google:연합뉴스 | sw
2026-09-09 13:34 | 이투데이 | 삼성전자 주가 재평가 조건은⋯“파운드리ㆍ주주환원이 관건” [찐코노미] - 이투데이 | google:이투데이 | sw
2026-09-09 13:32 | thepublic.kr | 삼성·SK 성과급 잔치에 소부장도 들썩…리노공업 50일째 파업 | https://www.thepublic.kr/news/articleView.html?idxno=318119 | c11?
2026-09-09 13:30 | 한국경제 | "2000만원 깎아주면 살게요"…'마의 15억'에 영끌족 한숨 [시장톡] - 한국경제 | google:한국경제 | sw
