# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 1 of 3, lines: 250
# format: date | media | title | url | tags

2026-09-22 20:31 | 이투데이 | AI사회 - 이투데이 | google:이투데이 | sw
2026-09-22 20:21 | biz.heraldcorp.com | 구자현 떠나며 ‘보완수사권 폐지’ 직격…“검사제도 근간 훼손” | https://biz.heraldcorp.com/article/10882591?ref=naver | b15?
2026-09-22 20:09 | 경향신문 | 빈 대장간을 ‘문경 사랑방’으로…공간에 문화 더하다 - 경향신문 | google:경향신문 | sw
2026-09-22 20:08 | 연합뉴스 | 164cm '작은 거인' 송세라, 33세에 첫 개인전 '금빛 찌르기' - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 20:08 | 이투데이 | 이형일 “한국판 전략형 국부펀드 추진…투자 성과는 국민에게” - 이투데이 | google:이투데이 | sw
2026-09-22 20:05 | 아시아경제 | 대법 전합, 29일 김건희 여사 의혹·내란 사건 함께 심리 - 아시아경제 | google:아시아경제 | sw
2026-09-22 20:03 | yna.co.kr | 공소청 검사 15∼20%↓·수사관 70%↓…1재판부 1공판검사제로(종합3보) | https://www.yna.co.kr/view/AKR20260922046553004?input=1195m | b12?,sw
2026-09-22 20:02 | 경향신문 | 유재석, 감기 몸살·고열로 당일 녹화 취소···데뷔 이후 처음 - 경향신문 | google:경향신문 | sw
2026-09-22 20:00 | 경향신문 | 경제 역대급 호황 대만, 국민은 왜 가난할까? I 스튜디오경향 - 경향신문 | google:경향신문 | sw
2026-09-22 19:57 | ikbc.co.kr | 유시민 "李, 국민 속였다…수사·기소 분리 원치 않아" | https://www.ikbc.co.kr/article/view/kbc202609220059 | b12?
2026-09-22 19:53 | 연합뉴스 | [1보] 펜싱 송세라, 아시안게임 여자 에페 개인전 금메달 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 19:18 | 아시아경제 | 윤정현, AG 남자 플뢰레 개인전 동메달…'펜싱 대표팀 첫 메달' - 아시아경제 | google:아시아경제 | sw
2026-09-22 19:06 | ajunews.com | [아이치·나고야 AG] 수영 남자 혼계영 400m 동메달 획득 - ajunews.com | google:ajunews.com | sw
2026-09-22 19:03 | 아시아경제 | 예멘 반군·정부군 충돌 격화…이틀간 최소 154명 사망·피란민 13만명 육박 - 아시아경제 | google:아시아경제 | sw
2026-09-22 19:01 | 연합뉴스 | [아시안게임] 여자배구 강소휘, 눈물의 고백 "이번이 마지막 대회" - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 19:00 | kmib.co.kr | 공소청 검사 정원 80∼85%만 채운다… 수사관은 70% 감축 | https://www.kmib.co.kr/article/view.asp?arcid=9000016648&cp=nv | b12?
2026-09-22 18:48 | 아시아경제 | 국산 전투기 'KF-21' 양산 1호기 공군 인도…개발 선언 25년 만의 쾌거 - 아시아경제 | google:아시아경제 | sw
2026-09-22 18:43 | busan.com | 수사관 70% 축소 ‘슬림 공소청’ [새 형사사법체계 대혼란] | https://www.busan.com/view/busan/view.php?code=2026092218393529732 | b12?
2026-09-22 18:37 | biz.heraldcorp.com | 유시민 “檢개혁, 수사·기소 분리가 최대치? 李대통령, 국민 속인 것” | https://biz.heraldcorp.com/article/10882561?ref=naver | b12?
