# collected: 2026-09-23 08:02 KST
# window: 2026-09-22 00:00 ~ 2026-09-23 08:02 KST
# part 3 of 3, lines: 225
# format: date | media | title | url | tags

2026-09-22 09:09 | 이투데이 | [특징주] 메타 AI발 훈풍…삼전·SK하닉 장 초반 3%대 강세 - 이투데이 | google:이투데이 | sw
2026-09-22 09:05 | 경향신문 | HL만도 하청노동자 장례 63일만에 치러진다…유족·사측 합의 - 경향신문 | google:경향신문 | sw
2026-09-22 09:02 | signalm.sedaily.com | [속보] 코스피 장중 7100돌파…9월 9일 이후 9거래일만 - signalm.sedaily.com | google:signalm.sedaily.com | sw
2026-09-22 09:02 | 이투데이 | [기획]김도읍의 ‘생곡’, 한동훈이 올라타면…전재수 시정 감당할 수 있나 - 이투데이 | google:이투데이 | sw
2026-09-22 09:01 | 아시아경제 | 코스피 153.89P 오른 7161.61 출발(2.2%↑) - 아시아경제 | google:아시아경제 | sw
2026-09-22 09:00 | signalm.sedaily.com | 한투證 “통신주, AI데이터센터 매출 기여 먼 미래” [이런국장 저런주식] - signalm.sedaily.com | google:signalm.sedaily.com | sw
2026-09-22 09:00 | 헤럴드경제 | ‘고액 연봉’ 미끼 구인광고, 게시 전 걸러낸다…거짓이면 즉시 삭제 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 09:00 | ESG경제 | 카페인중독, 독립유공자 후손 지원 2년째…후원금 300만원 전달 - ESG경제 | google:ESG경제 | sw
2026-09-22 08:59 | 한국경제 | "223억달러 텍사스 발전소 유력"…대미투자 1호 오늘 윤곽 - 한국경제 | google:한국경제 | sw
2026-09-22 08:56 | 연합뉴스 | "불안해 못 살겠다" 스토커 찾아간 피해자…스마트워치로 자수 - 연합뉴스 | google:연합뉴스 | sw
2026-09-22 08:51 | 매일경제 | ‘인턴’ 6일째 1위…‘암살자(들)’ 예매율 30% 압도적 선두 [MK박스오피스] - 매일경제 | google:매일경제 | sw
2026-09-22 08:49 | 이투데이 | 김지원 '닥터X'에 연기파 배우 다 모였다⋯초호화 라인업 공개 - 이투데이 | google:이투데이 | sw
2026-09-22 08:48 | 뉴시스 | 이 대통령, 이형일·강신철·홍지선 장관 임명안 재가 - 뉴시스 | google:뉴시스 | sw
2026-09-22 08:34 | 한국경제 | 디지털대성, 55억원 규모 자사주 소각…"주주환원 정책 지속" - 한국경제 | google:한국경제 | sw
2026-09-22 08:33 | 이투데이 | 돌봄 사각지대 강원도, 농산어촌형 통합돌봄 해법 찾아 - 이투데이 | google:이투데이 | sw
2026-09-22 08:32 | 서울경제 | ‘모태 금수저’ 이서진, 리센느에 특급 현실 조언…“돈 많이 벌면 행복은 온다” - 서울경제 | google:서울경제 | sw
2026-09-22 08:30 | 한국경제 | 李대통령, 이형일·강신철·홍지선 장관 임명안 재가 - 한국경제 | google:한국경제 | sw
2026-09-22 08:29 | 아시아경제 | [속보]이 대통령, 이형일·강신철·홍지선 임명안 재가 - 아시아경제 | google:아시아경제 | sw
2026-09-22 08:28 | 헤럴드경제 | [속보] 李대통령, 이형일·강신철·홍지선 임명안 재가 - 헤럴드경제 | google:헤럴드경제 | sw
2026-09-22 08:28 | 경향신문 | [속보] 이 대통령, 이형일·강신철·홍지선 장관 임명안 재가 - 경향신문 | google:경향신문 | sw
2026-09-22 08:27 | 한국경제 | 삼성전자 덕에 '잭팟' 터졌다…한 달 만에 주가 74% '폭등' [종목+] - 한국경제 | google:한국경제 | sw
2026-09-22 08:25 | 이투데이 | 대웅제약 유통망 탄 이모코그, 디지털 치매 관리 대중화 - 이투데이 | google:이투데이 | sw
2026-09-22 08:24 | 이투데이 | 李대통령, 다시 부동산 전면에…“강남불패 과거 이야기 될 것” - 이투데이 | google:이투데이 | sw
